Name,Title,Company,Type,Industry,ICP Score,ICP Fit,Reasoning
Steve Gearhart,"General Manager, Service",Gosiger,Speaker,"Gosiger is a near-perfect industry and persona match, represented by a General Manager of Service which aligns with target titles and departments. While the company size of 450 falls just below the 500-employee threshold, the high-level speaker presence and specific focus on factory automation and field service make it a high-quality prospect.",85,High,"Gosiger is a near-perfect industry and persona match, represented by a General Manager of Service which aligns with target titles and departments. While the company size of 450 falls just below the 500-employee threshold, the high-level speaker presence and specific focus on factory automation and field service make it a high-quality prospect."
Carlos Carnelos Jr,IBM TLS Global Strategic Transformation Leader,IBM,Speaker,"IBM's Technology Lifecycle Services (TLS) division is a massive global field service operation, perfectly aligning with the target industry criteria. The presence of the COO and several directors from operational and AI-focused departments indicates high-level stakeholder alignment and significant potential for enterprise-scale AI automation.",100,High,"IBM's Technology Lifecycle Services (TLS) division is a massive global field service operation, perfectly aligning with the target industry criteria. The presence of the COO and several directors from operational and AI-focused departments indicates high-level stakeholder alignment and significant potential for enterprise-scale AI automation."
Keila Martinez,"Director, Supply Chain Services Global Operations",IBM,Speaker,"IBM's Technology Lifecycle Services (TLS) division is a massive global field service operation, perfectly aligning with the target industry criteria. The presence of the COO and several directors from operational and AI-focused departments indicates high-level stakeholder alignment and significant potential for enterprise-scale AI automation.",100,High,"IBM's Technology Lifecycle Services (TLS) division is a massive global field service operation, perfectly aligning with the target industry criteria. The presence of the COO and several directors from operational and AI-focused departments indicates high-level stakeholder alignment and significant potential for enterprise-scale AI automation."
Naimish Rajyaguru,National Service Head,Symphony limited,Speaker,"Symphony Limited is a strong match for the HVAC manufacturing industry and the speaker holds a relevant 'Head of Service' persona. However, the fit is tempered to Medium because the company is headquartered in India and the speaker's remit is national (India-based), which falls outside the target North American geography.",70,Medium,"Symphony Limited is a strong match for the HVAC manufacturing industry and the speaker holds a relevant 'Head of Service' persona. However, the fit is tempered to Medium because the company is headquartered in India and the speaker's remit is national (India-based), which falls outside the target North American geography."
Maor Vered,Global Service Director,IMS-Services,Speaker,"IMS-Services is a near-perfect industry and department match, providing specialized field services for high-tech sectors like semiconductors and pharma. Although the company size (400) is slightly below the 500-employee minimum threshold, the presence of a Global Service Director as a speaker indicates high strategic value and executive intent.",85,High,"IMS-Services is a near-perfect industry and department match, providing specialized field services for high-tech sectors like semiconductors and pharma. Although the company size (400) is slightly below the 500-employee minimum threshold, the presence of a Global Service Director as a speaker indicates high strategic value and executive intent."
Rod Cook,"Director, NA Service Operations",Trane Technologies,Speaker,"Trane Technologies is a perfect ICP match, operating in the target HVAC and building automation industries with a massive enterprise scale of 37,000 employees. The presence of high-level speakers in Service Operations and Building Services directly aligns with the target departments and titles for field service automation.",100,High,"Trane Technologies is a perfect ICP match, operating in the target HVAC and building automation industries with a massive enterprise scale of 37,000 employees. The presence of high-level speakers in Service Operations and Building Services directly aligns with the target departments and titles for field service automation."
Carol Marriott,Building Services Portfolio Director,Trane Technologies,Speaker,"Trane Technologies is a perfect ICP match, operating in the target HVAC and building automation industries with a massive enterprise scale of 37,000 employees. The presence of high-level speakers in Service Operations and Building Services directly aligns with the target departments and titles for field service automation.",100,High,"Trane Technologies is a perfect ICP match, operating in the target HVAC and building automation industries with a massive enterprise scale of 37,000 employees. The presence of high-level speakers in Service Operations and Building Services directly aligns with the target departments and titles for field service automation."
Dave Pitchford,"Director, Service Operations",The Coca Cola Company,Speaker,The Coca Cola Company is a global manufacturing leader with significant field service needs related to its vast network of beverage dispensing and vending equipment. The presence of a Director of Service Operations as a speaker confirms high alignment with target personas and departments.,95,High,The Coca Cola Company is a global manufacturing leader with significant field service needs related to its vast network of beverage dispensing and vending equipment. The presence of a Director of Service Operations as a speaker confirms high alignment with target personas and departments.
Jennifer Dye,"Regional Director, Service Operations NA",Schneider Electric,Speaker,"Schneider Electric is a perfect ICP match, operating in core target industries like Industrial/Building Automation and Energy with a massive enterprise footprint. The engagement from high-level VP and Director roles within Service Operations and Execution specifically aligns with the target departments and decision-maker personas.",100,High,"Schneider Electric is a perfect ICP match, operating in core target industries like Industrial/Building Automation and Energy with a massive enterprise footprint. The engagement from high-level VP and Director roles within Service Operations and Execution specifically aligns with the target departments and decision-maker personas."
Lenny Cumberledge,"Director, Field Service",Gojo Industries,Speaker,"Gojo Industries is a perfect ICP fit, meeting all target criteria including industry, company size, and geographic location. The presence of a Director-level speaker specifically from the Field Service department confirms strong alignment and high intent for field service automation solutions.",100,High,"Gojo Industries is a perfect ICP fit, meeting all target criteria including industry, company size, and geographic location. The presence of a Director-level speaker specifically from the Field Service department confirms strong alignment and high intent for field service automation solutions."
Clifford Gardner,"Director, Technical Services",Fresenius Kabi,Speaker,"Fresenius Kabi is a global leader in medical technologies and infusion devices, fitting perfectly into the target Medical Devices and Healthcare Technology industries. The lead contact is a Director of Technical Services, which directly aligns with the target persona and department for field service automation solutions at an enterprise scale.",100,High,"Fresenius Kabi is a global leader in medical technologies and infusion devices, fitting perfectly into the target Medical Devices and Healthcare Technology industries. The lead contact is a Director of Technical Services, which directly aligns with the target persona and department for field service automation solutions at an enterprise scale."
Ken Creech,"Director, Customer Support",Makino,Speaker,"Makino is a perfect ICP match, operating in the target industrial manufacturing sector with a significant employee base. The presence of a Director of Customer Support as a speaker provides a direct entry point into a high-priority department for field service automation.",100,High,"Makino is a perfect ICP match, operating in the target industrial manufacturing sector with a significant employee base. The presence of a Director of Customer Support as a speaker provides a direct entry point into a high-priority department for field service automation."
Fernando Vivieca Vargas,Caribbean Service Director,DISS,Speaker,"DISS is a perfect industry and department match, featuring a high-level Service Director as a speaker. While the company size of 150 is below the 500-employee threshold and the geography is outside North America, the role and industry relevance are exceptionally strong for field service automation.",85,High,"DISS is a perfect industry and department match, featuring a high-level Service Director as a speaker. While the company size of 150 is below the 500-employee threshold and the geography is outside North America, the role and industry relevance are exceptionally strong for field service automation."
Sara Smith,Service AI Program Owner,Waters Corporation,Speaker,"Waters Corporation is a major enterprise manufacturer of analytical instruments, fitting the size and industry criteria perfectly. While the speaker's title of 'Program Owner' is not an executive rank, the specific focus on 'Service AI' within the Service department signifies high strategic alignment and intent for field service automation solutions.",85,High,"Waters Corporation is a major enterprise manufacturer of analytical instruments, fitting the size and industry criteria perfectly. While the speaker's title of 'Program Owner' is not an executive rank, the specific focus on 'Service AI' within the Service department signifies high strategic alignment and intent for field service automation solutions."
Michael Lamb,"Director, Parts and Service Sales",Acme Manufacturing,Speaker,"Acme Manufacturing aligns perfectly with target industries and features a speaker in a key service-oriented leadership role. Despite failing to meet the minimum employee threshold, the presence of a Director of Parts and Service Sales at a global automation leader indicates high relevance for field service solutions.",85,High,"Acme Manufacturing aligns perfectly with target industries and features a speaker in a key service-oriented leadership role. Despite failing to meet the minimum employee threshold, the presence of a Director of Parts and Service Sales at a global automation leader indicates high relevance for field service solutions."
Jon Kent,"Director, Field Service Transformation",USIC,Speaker,"USIC is a massive enterprise in the Utilities and Field Service sectors with 12,000 employees, exceeding size requirements. The contacts hold ideal VP and Director titles within target departments (Field Service and IT), and their status as conference speakers indicates high strategic alignment and authority.",100,High,"USIC is a massive enterprise in the Utilities and Field Service sectors with 12,000 employees, exceeding size requirements. The contacts hold ideal VP and Director titles within target departments (Field Service and IT), and their status as conference speakers indicates high strategic alignment and authority."
Greg Wilson,"Director, Service",Cincinnati Incorporated,Speaker,"Cincinnati Incorporated is a perfect industry and department match with a high-level Director lead. Although the company size of 400 is slightly below the 500-employee minimum threshold, the speaker status and target sector alignment indicate a high-quality prospect for field service automation.",85,High,"Cincinnati Incorporated is a perfect industry and department match with a high-level Director lead. Although the company size of 400 is slightly below the 500-employee minimum threshold, the speaker status and target sector alignment indicate a high-quality prospect for field service automation."
Ecudemio Gutierrez II,"Director, Safety",DC Water,Speaker,"DC Water is a direct industry match within the Utilities sector and meets the minimum size requirement with 1,100 employees. While 'Safety' is not an exact match for the target departments, the contact's 'Director' title and speaker status make this a high-quality lead for field service automation.",92,High,"DC Water is a direct industry match within the Utilities sector and meets the minimum size requirement with 1,100 employees. While 'Safety' is not an exact match for the target departments, the contact's 'Director' title and speaker status make this a high-quality lead for field service automation."
Robert Contino,"Senior Manager, Capital Service Operations",DePuy Synthes,Speaker,"DePuy Synthes is a perfect industry and size match for an enterprise field service solution. Although the speaker title (Senior Manager) falls slightly below the preferred Director/VP threshold, the functional alignment with Capital Service Operations and the speaker status indicate high relevance and intent.",75,High,"DePuy Synthes is a perfect industry and size match for an enterprise field service solution. Although the speaker title (Senior Manager) falls slightly below the preferred Director/VP threshold, the functional alignment with Capital Service Operations and the speaker status indicate high relevance and intent."
Jayda Nance,AI Accelerators Program Owner,IBM,Speaker,"IBM's Technology Lifecycle Services (TLS) division is a massive global field service operation, perfectly aligning with the target industry criteria. The presence of the COO and several directors from operational and AI-focused departments indicates high-level stakeholder alignment and significant potential for enterprise-scale AI automation.",100,High,"IBM's Technology Lifecycle Services (TLS) division is a massive global field service operation, perfectly aligning with the target industry criteria. The presence of the COO and several directors from operational and AI-focused departments indicates high-level stakeholder alignment and significant potential for enterprise-scale AI automation."
Greg Parsons,"Global Product Manager, Process Industries Parts and Repair",ABB,Speaker,"ABB is a top-tier fit, hitting all criteria including a target enterprise size and a direct industry match in Industrial Automation. The presence of a 'Head of' speaker in a North American Service department makes this a high-priority prospect for field service AI.",100,High,"ABB is a top-tier fit, hitting all criteria including a target enterprise size and a direct industry match in Industrial Automation. The presence of a 'Head of' speaker in a North American Service department makes this a high-priority prospect for field service AI."
Ken Marsh,"Manager, National Service",Marmon Foodservice Technologies,Speaker,"Marmon Foodservice Technologies is a strong industry match as a large-scale manufacturer of industrial foodservice equipment. While the speaker's title is 'Manager' rather than the requested 'Director+' level, the department and company size are perfect fits for field service automation solutions.",75,High,"Marmon Foodservice Technologies is a strong industry match as a large-scale manufacturer of industrial foodservice equipment. While the speaker's title is 'Manager' rather than the requested 'Director+' level, the department and company size are perfect fits for field service automation solutions."
Corine Rodriguez,National Process Manager,Ellison Technologies,Speaker,"Ellison Technologies is a strong industry match within the industrial machinery space and meets the minimum employee count for the mid-market target. Although the speaker's title is 'Manager' rather than 'Director', her national focus on 'Process' is highly relevant to field service automation and operational scaling.",83,High,"Ellison Technologies is a strong industry match within the industrial machinery space and meets the minimum employee count for the mid-market target. Although the speaker's title is 'Manager' rather than 'Director', her national focus on 'Process' is highly relevant to field service automation and operational scaling."
Marta Riggins,"Former Employer Brand Lead at Instacart, LinkedIn, Pandora",Strategic Consultant,Speaker,"The company is a solo consultancy focused on employer branding and HR culture, which falls outside the target industrial sectors and department requirements. Additionally, the company size is significantly below the 500-employee minimum threshold for an ideal prospect.",20,Low,"The company is a solo consultancy focused on employer branding and HR culture, which falls outside the target industrial sectors and department requirements. Additionally, the company size is significantly below the 500-employee minimum threshold for an ideal prospect."
Bob Feiner,Corporate Advisor,Feiner Management,Speaker,"Feiner Management is a boutique advisory firm that fails the minimum company size requirement and operates in consulting rather than a target industrial vertical. While the firm's specialization in service operations and the speaker status of the founder show strong topical relevance, they represent a strategic partner or influencer rather than a direct enterprise customer.",45,Low,"Feiner Management is a boutique advisory firm that fails the minimum company size requirement and operates in consulting rather than a target industrial vertical. While the firm's specialization in service operations and the speaker status of the founder show strong topical relevance, they represent a strategic partner or influencer rather than a direct enterprise customer."
Sean Albertson,Founder & CEO,CX4ROCKS,Speaker,"CX4ROCKS is a micro-consultancy that fails the 500-employee minimum threshold and is not within the target industrial sectors. Although the founder has a C-level title and speaker status, the firm provides advisory services rather than managing the high-asset field operations intended for this AI solution.",45,Low,"CX4ROCKS is a micro-consultancy that fails the 500-employee minimum threshold and is not within the target industrial sectors. Although the founder has a C-level title and speaker status, the firm provides advisory services rather than managing the high-asset field operations intended for this AI solution."
Hari Subramanian,CEO,Appify,Speaker,"Appify aligns strongly with target titles and departments through its CEO and CTO speakers, and its focus on field service automation matches the core industry criteria. However, the company is significantly under the minimum size requirement of 500 employees and likely operates as a technology vendor rather than an end-user.",75,High,"Appify aligns strongly with target titles and departments through its CEO and CTO speakers, and its focus on field service automation matches the core industry criteria. However, the company is significantly under the minimum size requirement of 500 employees and likely operates as a technology vendor rather than an end-user."
Ranga Vaithyalingam,CTO,Appify,Speaker,"Appify aligns strongly with target titles and departments through its CEO and CTO speakers, and its focus on field service automation matches the core industry criteria. However, the company is significantly under the minimum size requirement of 500 employees and likely operates as a technology vendor rather than an end-user.",75,High,"Appify aligns strongly with target titles and departments through its CEO and CTO speakers, and its focus on field service automation matches the core industry criteria. However, the company is significantly under the minimum size requirement of 500 employees and likely operates as a technology vendor rather than an end-user."
"Karpagam ""Kay"" Narayanan",Founder & CEO,Ascendo AI,Speaker,"The company fails the industry and size requirements, as it is a small software vendor rather than a large industrial or field service enterprise. However, the contact holds a high-level executive title (CEO) within a target department (Technology/Innovation), and the speaker status provides a scoring boost.",55,Medium,"The company fails the industry and size requirements, as it is a small software vendor rather than a large industrial or field service enterprise. However, the contact holds a high-level executive title (CEO) within a target department (Technology/Innovation), and the speaker status provides a scoring boost."
Mike Ross,Principal Product Strategist,Baxter Planning,Speaker,"Baxter Planning has high industry relevance as they provide service parts optimization for the field service and manufacturing sectors. However, the company size of 150 is well below the 500-employee minimum requirement, and the contact title lacks the specific executive seniority requested.",62,Medium,"Baxter Planning has high industry relevance as they provide service parts optimization for the field service and manufacturing sectors. However, the company size of 150 is well below the 500-employee minimum requirement, and the contact title lacks the specific executive seniority requested."
Josh Russell,"VP, Products",Circuitry.ai,Speaker,"Circuitry.ai is a small software vendor rather than an enterprise end-user in the target industries, and its size of 30 employees is significantly below the 500-employee threshold. While the VP title and speaker presence are positive, the company is more likely a competitor or partner than a viable customer for field service automation.",45,Low,"Circuitry.ai is a small software vendor rather than an enterprise end-user in the target industries, and its size of 30 employees is significantly below the 500-employee threshold. While the VP title and speaker presence are positive, the company is more likely a competitor or partner than a viable customer for field service automation."
Brett Buresh,"Field Service Leader, Senior Manager",Deloitte Consulting LLP,Speaker,"Deloitte is a high-fit prospect due to its enterprise scale and specialized Field Service Practice, which aligns perfectly with target departments. The speakers hold senior leadership roles (Principal/Practice Leader) equivalent to target personas, and their focus on field service strategy makes them key influencers or decision-makers for AI solutions.",80,High,"Deloitte is a high-fit prospect due to its enterprise scale and specialized Field Service Practice, which aligns perfectly with target departments. The speakers hold senior leadership roles (Principal/Practice Leader) equivalent to target personas, and their focus on field service strategy makes them key influencers or decision-makers for AI solutions."
Eric Kaese,"Field Service Practice Leader, Principal",Deloitte Consulting LLP,Speaker,"Deloitte is a high-fit prospect due to its enterprise scale and specialized Field Service Practice, which aligns perfectly with target departments. The speakers hold senior leadership roles (Principal/Practice Leader) equivalent to target personas, and their focus on field service strategy makes them key influencers or decision-makers for AI solutions.",80,High,"Deloitte is a high-fit prospect due to its enterprise scale and specialized Field Service Practice, which aligns perfectly with target departments. The speakers hold senior leadership roles (Principal/Practice Leader) equivalent to target personas, and their focus on field service strategy makes them key influencers or decision-makers for AI solutions."
Logan Lewis,COO,EnterBridge,Speaker,"EnterBridge fails the size requirement with only 35 employees and does not operate in a target industrial vertical, functioning instead as a consulting partner. The score is elevated to Medium solely because the contact is a C-level executive (COO) in a target department and is a featured speaker, meeting the persona criteria perfectly despite the poor company-level fit.",55,Medium,"EnterBridge fails the size requirement with only 35 employees and does not operate in a target industrial vertical, functioning instead as a consulting partner. The score is elevated to Medium solely because the contact is a C-level executive (COO) in a target department and is a featured speaker, meeting the persona criteria perfectly despite the poor company-level fit."
Brendon Hill,"Senior Vice President, Product Technology",Lytx,Speaker,"Lytx operates in the fleet management space, which is a core component of the Field Service industry. With an SVP of Product Technology as a speaker and a company size of 1,000 employees, this company represents an ideal enterprise-level prospect for field service automation.",95,High,"Lytx operates in the fleet management space, which is a core component of the Field Service industry. With an SVP of Product Technology as a speaker and a company size of 1,000 employees, this company represents an ideal enterprise-level prospect for field service automation."
Barret Van Allen,Business Segment Leader,Geotab,Speaker,"Geotab is a major player in fleet telematics, which is a core component of the Field Service and Telecommunications target industries. The company size of 2,000 employees far exceeds the minimum threshold, and the speaker holds a senior leadership position equivalent to a 'Head of' or 'General Manager' role.",85,High,"Geotab is a major player in fleet telematics, which is a core component of the Field Service and Telecommunications target industries. The company size of 2,000 employees far exceeds the minimum threshold, and the speaker holds a senior leadership position equivalent to a 'Head of' or 'General Manager' role."
Wade Holeman,Head of North America,Markt-Pilot,Speaker,"Markt-Pilot is an excellent industry and department match as they specialize in aftermarket solutions for manufacturers. While the company size of 150 is below the 500-employee threshold, the high-level speaker title and direct alignment with aftermarket operations result in a high overall fit score.",80,High,"Markt-Pilot is an excellent industry and department match as they specialize in aftermarket solutions for manufacturers. While the company size of 150 is below the 500-employee threshold, the high-level speaker title and direct alignment with aftermarket operations result in a high overall fit score."
Brian Bachofner,"VP, Product Marketing",Neuron7.ai,Speaker,"Neuron7.ai is a peer/competitor providing AI for field service rather than a target customer in the specified industries, and with 70 employees, it falls well below the 500-person minimum. While the speaker holds a VP title, their department (Product Marketing) is not a primary target, and the company size is an immediate disqualifier.",35,Low,"Neuron7.ai is a peer/competitor providing AI for field service rather than a target customer in the specified industries, and with 70 employees, it falls well below the 500-person minimum. While the speaker holds a VP title, their department (Product Marketing) is not a primary target, and the company size is an immediate disqualifier."
Faiza Tajammul,"Vice President, Product Management, Oracle Field Service",Oracle,Speaker,"Oracle aligns perfectly with the ICP as it has a dedicated Field Service division, which is explicitly listed as a target industry. The speakers hold high-level leadership titles (VP and Director) within the target departments of Field Service and Technology, and the company's massive enterprise scale far exceeds the minimum requirements.",100,High,"Oracle aligns perfectly with the ICP as it has a dedicated Field Service division, which is explicitly listed as a target industry. The speakers hold high-level leadership titles (VP and Director) within the target departments of Field Service and Technology, and the company's massive enterprise scale far exceeds the minimum requirements."
John Ranalli,"Director, Product Management, Oracle Fusion Service and Field Service",Oracle,Speaker,"Oracle aligns perfectly with the ICP as it has a dedicated Field Service division, which is explicitly listed as a target industry. The speakers hold high-level leadership titles (VP and Director) within the target departments of Field Service and Technology, and the company's massive enterprise scale far exceeds the minimum requirements.",100,High,"Oracle aligns perfectly with the ICP as it has a dedicated Field Service division, which is explicitly listed as a target industry. The speakers hold high-level leadership titles (VP and Director) within the target departments of Field Service and Technology, and the company's massive enterprise scale far exceeds the minimum requirements."
James Koursaris,General Manager - North America,Praxedo,Speaker,"Praxedo is an exact industry match and the speaker holds a target executive title (General Manager) covering a target geography (North America). While the company size of 200 is below the 500-employee minimum, the strategic alignment and high-level engagement qualify it as a high-fit prospect.",85,High,"Praxedo is an exact industry match and the speaker holds a target executive title (General Manager) covering a target geography (North America). While the company size of 200 is below the 500-employee minimum, the strategic alignment and high-level engagement qualify it as a high-fit prospect."
Jaryd Fisher,Founder & CEO,Reliance IQ,Speaker,"Reliance IQ is a small staffing firm that falls outside the target industrial and field service sectors and fails to meet the 500+ employee size threshold. Despite the high-ranking C-level title and speaker status of the contact, the company's core business model is not a fit for field service automation.",35,Low,"Reliance IQ is a small staffing firm that falls outside the target industrial and field service sectors and fails to meet the 500+ employee size threshold. Despite the high-ranking C-level title and speaker status of the contact, the company's core business model is not a fit for field service automation."
Taksina Eammano,"EVP & GM, Salesforce Field Service",Salesforce,Speaker,"Salesforce is an enterprise-scale company with a dedicated 'Field Service' business unit, matching the industry and department criteria perfectly. The presence of EVP and SVP level speakers from this specific division indicates a high-value strategic fit for field service AI and automation solutions.",100,High,"Salesforce is an enterprise-scale company with a dedicated 'Field Service' business unit, matching the industry and department criteria perfectly. The presence of EVP and SVP level speakers from this specific division indicates a high-value strategic fit for field service AI and automation solutions."
Christopher Battles,"SVP, Product Management, Salesforce Field Service",Salesforce,Speaker,"Salesforce is an enterprise-scale company with a dedicated 'Field Service' business unit, matching the industry and department criteria perfectly. The presence of EVP and SVP level speakers from this specific division indicates a high-value strategic fit for field service AI and automation solutions.",100,High,"Salesforce is an enterprise-scale company with a dedicated 'Field Service' business unit, matching the industry and department criteria perfectly. The presence of EVP and SVP level speakers from this specific division indicates a high-value strategic fit for field service AI and automation solutions."
Bulent Cinarkaya,"VP & GM, Field Service Management",ServiceNow,Speaker,ServiceNow is a perfect match due to its massive enterprise scale and a dedicated Field Service Management business unit that aligns with the target industry and department criteria. The presence of a VP & GM level speaker from the specific target department ensures maximum alignment across all scoring categories.,100,High,ServiceNow is a perfect match due to its massive enterprise scale and a dedicated Field Service Management business unit that aligns with the target industry and department criteria. The presence of a VP & GM level speaker from the specific target department ensures maximum alignment across all scoring categories.
Jordan Lake,"Product Marketing, Field Service Management",ServiceNow,Speaker,ServiceNow is a perfect match due to its massive enterprise scale and a dedicated Field Service Management business unit that aligns with the target industry and department criteria. The presence of a VP & GM level speaker from the specific target department ensures maximum alignment across all scoring categories.,100,High,ServiceNow is a perfect match due to its massive enterprise scale and a dedicated Field Service Management business unit that aligns with the target industry and department criteria. The presence of a VP & GM level speaker from the specific target department ensures maximum alignment across all scoring categories.
Thomas Cottereau,CEO & Founder,SightCall,Speaker,"SightCall is a perfect vertical match as a provider of field service technology, and the CEO/Founder title provides maximum points for decision-maker seniority. While the company size of 180 is below the 500-employee threshold, the high level of industry alignment and speaker status makes this a high-value target for strategic partnership or integration.",80,High,"SightCall is a perfect vertical match as a provider of field service technology, and the CEO/Founder title provides maximum points for decision-maker seniority. While the company size of 180 is below the 500-employee threshold, the high level of industry alignment and speaker status makes this a high-value target for strategic partnership or integration."
Justin Lake,CEO & Co-Founder,Skyllful,Speaker,"Skyllful is a small software vendor (25 employees) that falls significantly below the 500-employee minimum requirement. While the CEO speaker provides high title and department scores, the company's profile as a software provider rather than an enterprise field service operator makes it a poor ICP fit.",55,Medium,"Skyllful is a small software vendor (25 employees) that falls significantly below the 500-employee minimum requirement. While the CEO speaker provides high title and department scores, the company's profile as a software provider rather than an enterprise field service operator makes it a poor ICP fit."
Samantha Horton,Enterprise Business Architect,Tavant,Speaker,"Tavant is a strong match for size and target industry focus, particularly in manufacturing and field service software. However, the speaker's title of Architect falls below the requested leadership seniority, though the department aligns well with Digital and Technology transformation.",65,Medium,"Tavant is a strong match for size and target industry focus, particularly in manufacturing and field service software. However, the speaker's title of Architect falls below the requested leadership seniority, though the department aligns well with Digital and Technology transformation."
Alvaro Pombo,Founder & CEO,TrueContext,Speaker,"TrueContext aligns perfectly with the Field Service industry focus and features a C-level speaker, providing high strategic value. While the company size of 200 is below the 500-employee minimum, the direct industry relevance and executive engagement maintain a high overall fit.",85,High,"TrueContext aligns perfectly with the Field Service industry focus and features a C-level speaker, providing high strategic value. While the company size of 200 is below the 500-employee minimum, the direct industry relevance and executive engagement maintain a high overall fit."
Team (2),Conference Attendee,ABB,Attendee,,100,High,"ABB is a top-tier fit, hitting all criteria including a target enterprise size and a direct industry match in Industrial Automation. The presence of a 'Head of' speaker in a North American Service department makes this a high-priority prospect for field service AI."
Team (2),Conference Attendee,Cleanwater1,Attendee,,30,Low,"Cleanwater1 is a strong industry match as it operates in the water utilities and industrial equipment space. However, the company size of 150 is well below the 500-employee minimum threshold, and the attendee data lacks specific target titles or department information required for a high-quality lead match."
Team (10),Conference Attendee,Fresenius-Kabi,Attendee,,65,Medium,"Fresenius-Kabi is a perfect industry fit as an enterprise-scale medical device manufacturer (infusion/transfusion tech) which requires significant field service and technical support. While the company size is ideal, the lack of specific senior job titles or department details for the 'Team (10)' attendees keeps the score in the Medium range."
Representative,Conference Attendee,Accuray,Attendee,,100,High,"Accuray is a perfect ICP match as a Medical Device manufacturer with a clear focus on complex field service for radiotherapy systems. The lead contact is a high-level SVP in a target department (Service/Operations), and the company size and speaker status meet all priority criteria."
Representative,Conference Attendee,Coherent Corporation,Attendee,,100,High,"Coherent Corp is a massive global manufacturer in the industrial technology space, perfectly aligning with the target sectors. The lead is a high-ranking executive (Global VP) in a primary target department (Customer Service), and the company's size significantly exceeds the minimum requirement."
Representative,Conference Attendee,Freudenberg e-Power Systems,Attendee,,100,High,"Freudenberg e-Power Systems is a perfect match, operating in the target industrial manufacturing and energy sectors with a company size that meets the minimum threshold. The primary contact is a VP of Field Services who is also a conference speaker, indicating a high-authority decision-maker actively engaged in industry discourse."
Representative,Conference Attendee,Acme Manufacturing,Attendee,,85,High,"Acme Manufacturing aligns perfectly with target industries and features a speaker in a key service-oriented leadership role. Despite failing to meet the minimum employee threshold, the presence of a Director of Parts and Service Sales at a global automation leader indicates high relevance for field service solutions."
Team (8),Conference Attendee,Comfort Systems USA,Attendee,,100,High,"Comfort Systems USA is a perfect ICP match as a large-scale enterprise in the HVAC/MEP sector with a VP-level lead specifically focused on Service Technology. Given their massive field workforce of over 15,000 employees, they are a primary target for field service AI and automation tools."
Representative,Conference Attendee,GE Healthcare,Attendee,,100,High,"GE Healthcare is a perfect enterprise-level match in the target industry with complex field service needs for medical imaging and diagnostics. The speaker's role as GM of Service Operations directly aligns with the target persona and department, ensuring high strategic relevance."
Team (2),Conference Attendee,AcuityBrands,Attendee,,50,Medium,"Acuity Brands is a market leader in building management and manufacturing, making it a perfect industry and size fit. While specific attendee titles and departments aren't provided, the company's business model in lighting and industrial controls necessitates robust field service and technical operations."
Representative,Conference Attendee,Crane 1 Services,Attendee,,50,Medium,"Crane 1 Services is an ideal industry fit as a field service provider for industrial equipment and meets the minimum size requirement of 500 employees. However, the score is limited because the specific attendee holds a generic title rather than a target executive or departmental leadership role."
Team (5),Conference Attendee,Gojo Industries,Attendee,,100,High,"Gojo Industries is a perfect ICP fit, meeting all target criteria including industry, company size, and geographic location. The presence of a Director-level speaker specifically from the Field Service department confirms strong alignment and high intent for field service automation solutions."
Representative,Conference Attendee,Agilent Technologies,Attendee,,100,High,"Agilent Technologies is a perfect fit, matching the target industry (Medical Devices/Manufacturing) and exceeding the size threshold with 18,000 employees. The presence of a VP-level speaker from the Worldwide Customer Service Organization aligns precisely with the target title and department criteria for field service automation."
Team (2),Conference Attendee,Crown Equipment Corp,Attendee,,100,High,"Crown Equipment is a perfect ICP match, operating as an enterprise-scale manufacturer with a significant field service and aftermarket operation. The contact is a Director-level speaker in the Field Support department, representing the primary target persona for field service AI automation."
Representative,Conference Attendee,Gosiger,Attendee,,85,High,"Gosiger is a near-perfect industry and persona match, represented by a General Manager of Service which aligns with target titles and departments. While the company size of 450 falls just below the 500-employee threshold, the high-level speaker presence and specific focus on factory automation and field service make it a high-quality prospect."
Representative,Conference Attendee,Altec Inc.,Attendee,,65,Medium,"Altec Inc. is a top-tier industry fit as an enterprise-scale manufacturer of specialized equipment for the utility and telecommunications sectors. While the attendee title is generic, the company's focus on field-heavy services and industrial equipment allows for a reasonable inference of departmental relevance."
Representative,Conference Attendee,CX4ROCKS,Attendee,,45,Low,"CX4ROCKS is a micro-consultancy that fails the 500-employee minimum threshold and is not within the target industrial sectors. Although the founder has a C-level title and speaker status, the firm provides advisory services rather than managing the high-asset field operations intended for this AI solution."
Team (9),Conference Attendee,HACH,Attendee,,100,High,Hach is a perfect ICP fit as a large-scale manufacturer of industrial analytical instruments with a significant global service operation. The presence of a VP of Global Service as a speaker indicates a high level of strategic maturity in field service and high potential for AI/automation adoption.
Team (2),Conference Attendee,Analogic Corporation,Attendee,,55,Medium,"Analogic is a perfect industry fit and meets the minimum size requirement with 1,500 employees. While attendee titles are generic, the company's focus on complex medical imaging and security screening hardware necessitates a sophisticated field service and operations department."
Team (2),Conference Attendee,"Cymer, LLC",Attendee,,60,Medium,"Cymer is a high-fit industry match as a manufacturer of complex photolithography light sources, falling under Industrial Equipment and Manufacturing. While specific attendee titles were not provided, the company's scale and technical service requirements for semiconductor equipment align well with field service automation needs."
